Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-47.54763503,-0.11,Ag,-20.51155619
Ag2O2,-53.5474386,-0.06,Al,-6.73109404
Ag2S,-49.5396438,-0.11,As,-14.7035291
Ag2Se,-55.88674137,-0.15,Au,-49.36856252
AlAs,-22.6911393,-0.61,Ba,-26.43243314
AlCl3,-31.94322735,-1.82,Be,-4.339623803
AlF3,-31.54347847,-3.9,Bi,-58.49761314
AlN,-19.22838222,-1.61,Ca,-7.03010808
AlP,-17.20697883,-0.85,Cd,-20.09410207
Al2O3,-48.13496321,-3.47,Cl,-6.051024105
Al2S3,-43.74128855,-1.5,Co,-10.41373129
Al2Se3,-61.42473055,-1.18,Cr,-11.82400561
Al2Te3,-92.4972848,-0.68,Cu,-9.96675262
AuCl,-56.09015852,-0.18,F,-3.06673375
AuCl3,-69.05325378,-0.3,Fe,-10.51808883
AuF3,-63.17486946,-0.94,Ga,-11.43824635
BaO,-37.82775833,-2.86,Ge,-13.85929885
BaO2,-44.53449564,-2.19,Hf,-43.21377539
BaS,-39.20655929,-2.38,Hg,-49.36530571
BeO,-16.29497044,-3.14,In,-22.58277901
BeS,-14.78384261,-1.21,Ir,-49.8360729
Be3N2,-37.46760739,-1.22,K,-5.978287735
CaCl2,-27.26414916,-2.75,La,-28.82091513
CaF2,-25.954205,-4.21,Li,-2.340161603
CaO,-19.46082773,-3.29,Mg,-4.1482446
CaS,-19.93150237,-2.45,Mn,-11.23633169
Ca3N2,-44.13852461,-0.91,N,-9.0729491
Ca3P2,-43.41089333,-1.22,Na,-3.54078997
CdCl2,-36.2162154,-1.35,Nb,-22.10628549
CdF2,-33.72115745,-2.42,Ni,-10.20183029
CdO,-28.56032489,-1.34,O,-5.93354306
CdS,-29.68661872,-0.78,P,-8.999011531
CdSb,-46.00400005,-0.07,Pd,-21.51224545
CdSe,-35.91046478,-0.75,Pt,-49.68312951
CdTe,-46.64078238,-0.48,Rb,-13.91701303
Cd3As2,-90.57437822,-0.08,Rh,-21.8429157
Cd3N2,-76.42386678,0.33,S,-8.030800828
Cd3P2,-78.92341371,-0.24,Sb,-25.69456917
CoF2,-25.72531727,-2.39,Sc,-10.1208448
CoF3,-30.07524814,-2.1,Se,-14.30663755
CoO,-20.7123592,-1.23,Si,-8.77408201
CoS,-20.82542982,-0.43,Sn,-24.74088779
CoSb3,-88.7630593,-0.17,Sr,-15.08917751
CoSe,-26.89670837,-0.32,Ta,-45.90460805
Co3O4,-69.03859732,-1.32,Te,-25.41102183
Co3S4,-70.72647504,-0.53,Ti,-10.70034598
CrF4,-38.57514712,-2.58,V,-11.23915329
CrN,-24.25103175,-0.65,Y,-19.37427159
CrO2,-31.33654256,-2.07,Zn,-8.37150127
CrS,-23.55091495,-0.81,Zr,-21.17047731
Cr2O3,-57.10236753,-2.36,,
CuF2,-22.04188773,-1.88,,
CuO,-17.6497755,-0.82,,
CuS,-18.60707933,-0.28,,
CuSe,-24.71127829,-0.21,,
Cu2O,-27.55403742,-0.58,,
Cu2S,-28.77303133,-0.28,,
Cu2Sb,-45.62491773,-0.04,,
Cu2Se,-34.74585114,-0.21,,
Cu2Te,-45.25066809,0.07,,
Cu3N,-38.35399691,0.19,,
Cu3P,-39.20978654,-0.17,,
Cu3Sb,-55.36373785,-0.02,,
FeF2,-27.1949538,-2.46,,
FeO,-22.12921287,-1.41,,
FeS,-22.12798955,-0.52,,
FeSe,-27.77265031,-0.39,,
Fe2O3,-53.14715733,-1.71,,
Fe3O4,-75.16122421,-1.66,,
GaAs,-27.05263488,-0.37,,
GaCl3,-34.76295456,-1.36,,
GaF3,-32.23640221,-3.01,,
GaN,-21.91163549,-0.81,,
GaP,-21.46218592,-0.53,,
GaS,-21.00064428,-1.09,,
GaSb,-37.60232099,-0.22,,
GaSe,-27.12977213,-0.83,,
Ga2O3,-51.22373047,-2.26,,
Ga2S3,-50.96335135,-1.07,,
Ga2Se3,-69.30932577,-0.85,,
GeO2,-31.29266482,-2,,
GeS,-22.37588225,-0.39,,
GeS2,-31.08826725,-0.66,,
GeSe,-28.56596839,-0.48,,
Ge3N4,-79.22499595,-0.09,,
HfN,-56.03157902,-1.91,,
HfO2,-66.8219067,-3.95,,
HgCl2,-63.71068952,-0.77,,
HgO,-56.05956831,-0.47,,
HgS,-57.73849016,-0.3,,
HgSe,-64.14678736,-0.24,,
HgTe,-75.16142931,-0.22,,
InAs,-38.03032562,-0.31,,
InN,-31.86535278,-0.1,,
InP,-32.22029132,-0.39,,
InS,-31.96252429,-0.7,,
InSb,-48.74388708,-0.16,,
InSe,-38.2379668,-0.62,,
InTe,-48.79022354,-0.5,,
In2O3,-72.4932795,-1.92,,
In2S3,-72.95163337,-0.74,,
In2Se3,-91.50499201,-0.67,,
In2Te3,-123.5889229,-0.41,,
IrO2,-64.84101577,-0.95,,
IrS2,-67.6625591,-0.48,,
Ir2S3,-126.8903114,-0.49,,
KCl,-16.44177066,-2.26,,
KF,-14.88090557,-2.94,,
KSb,-32.81082452,-0.43,,
KSb2,-58.54328741,-0.37,,
K2O,-21.35979939,-1.25,,
K2O2,-28.54282112,-1.28,,
K2S,-23.68744192,-1.31,,
K2S2,-32.36804712,-1.12,,
K2Se,-30.10841864,-1.36,,
K3As,-34.43706657,-0.48,,
K3Bi,-78.42566207,-0.6,,
K3Sb,-45.80478893,-0.47,,
K5Sb4,-137.822503,-0.44,,
LaCl3,-58.48683445,-2.78,,
LaN,-41.30892615,-1.57,,
LaS,-41.83787633,-2.36,,
La2O3,-94.6985832,-3.72,,
La2S3,-94.87846523,-2.51,,
La2Te3,-143.7903238,-1.63,,
LiCl,-12.50640409,-2.12,,
LiF,-11.8017838,-3.19,,
Li2O,-16.64844589,-2.07,,
Li2O2,-22.83301763,-1.64,,
Li2S,-17.21635771,-1.52,,
Li2Se,-23.27866749,-1.45,,
Li3Bi,-67.96576514,-0.6,,
Li3N,-17.99348265,-0.43,,
Li3Sb,-35.65861544,-0.83,,
MgCl2,-22.68551943,-2.21,,
MgF2,-21.9181612,-3.88,,
MgO,-16.16096383,-3.11,,
MgS,-15.50962516,-1.79,,
MgSe,-21.40457842,-1.52,,
MgTe,-31.67297462,-1.08,,
Mg3As2,-45.82071929,-0.91,,
Mg3Bi2,-130.8861353,-0.32,,
Mg3N2,-35.5548149,-0.96,,
Mg3P2,-34.51193208,-0.96,,
Mg3Sb2,-66.35371115,-0.49,,
MnO,-23.96023327,-2,,
MnS,-24.26977193,-1.11,,
MnS2,-31.52791653,-0.72,,
MnSb,-39.91843709,-0.26,,
Mn2O3,-55.51524815,-1.99,,
Mn3O4,-79.88120415,-2.05,,
NaCl,-13.82334869,-2.13,,
NaF,-12.73105686,-2.97,,
NaSb,-30.1675178,-0.33,,
NaTe3,-81.71091067,-0.35,,
Na2O,-17.39363629,-1.43,,
Na2O2,-24.20752518,-1.32,,
Na2S,-19.01689108,-1.26,,
Na2S2,-27.26830299,-1.03,,
Na2Se,-25.27981705,-1.18,,
Na2Se2,-39.78261856,-0.97,,
Na3As,-27.63181104,-0.53,,
Na3Bi,-71.17835311,-0.46,,
Na3Sb,-38.68473682,-0.53,,
NbN,-33.77439406,-1.22,,
NbO2,-42.36428919,-2.75,,
Nb2O5,-93.67022533,-2.81,,
NiF2,-24.44013811,-2.25,,
NiO,-19.59136609,-1.24,,
NiS,-19.58726781,-0.43,,
NiSb,-36.65968679,-0.34,,
NiSe,-25.44528604,-0.31,,
NiTe,-36.19259292,-0.28,,
Ni2O3,-43.94940847,-1.01,,
Ni2Te3,-97.96279345,-0.3,,
Ni3P,-42.06102715,-0.54,,
Ni3S2,-49.59184149,-0.42,,
PdCl2,-35.79443373,-0.69,,
PdO,-28.94690154,-0.44,,
PdS,-30.59238231,-0.39,,
PdS2,-38.7242437,-0.28,,
Pd4S,-95.67089544,-0.14,,
PtO,-56.78548364,-0.37,,
PtO2,-63.65375943,-0.57,,
PtS,-58.9586183,-0.42,,
PtS2,-67.12717407,-0.38,,
Pt3O4,-177.2425188,-0.4,,
RbCl,-24.38251288,-2.26,,
RbF,-22.76254034,-2.89,,
RbSb,-40.76290579,-0.52,,
RbSb2,-66.55527875,-0.35,,
Rb2O,-37.02740121,-1.17,,
Rb2O2,-44.35163098,-1.22,,
Rb2S,-39.47363292,-1.25,,
Rb3Sb,-69.48674448,-0.45,,
RhCl3,-43.98222692,-0.78,,
RhO2,-36.99151665,-0.85,,
Rh2O3,-67.34140566,-0.84,,
Rh2S3,-71.45259187,-0.54,,
ScAs,-27.8981315,-1.39,,
ScCl3,-37.84319172,-2.4,,
ScF3,-36.1661234,-4.22,,
Sc2O3,-56.95576204,-3.94,,
SiO2,-29.81042561,-3.13,,
SiS2,-27.08238334,-0.88,,
SiSe2,-38.940318,-0.61,,
Si3N4,-72.08365756,-1.1,,
SnO,-33.54247233,-1.48,,
SnO2,-42.47939059,-1.97,,
SnS,-33.7346473,-0.57,,
SnS2,-42.2841149,-0.53,,
SnSe,-39.96922653,-0.47,,
SnSe2,-54.67883095,-0.43,,
SrO,-27.056067,-3.07,,
SrO2,-33.3567148,-2.19,,
SrS,-28.02476874,-2.45,,
Sr2Bi,-91.47650336,-1.08,,
Sr2Sb,-59.03567134,-1.11,,
TaN,-57.67530826,-1.3,,
TaS2,-65.46761522,-1.22,,
TiAs,-27.39981636,-0.78,,
TiCl4,-43.63679427,-1.7,,
TiN,-23.3478209,-1.58,,
TiO2,-32.19812716,-3.26,,
TiS,-21.7809865,-1.41,,
TiS2,-31.25624251,-1.41,,
Ti2O3,-54.74292752,-3.15,,
VF4,-39.41408028,-2.91,,
VN,-22.91960047,-1.13,,
VO,-23.33380732,-2.24,,
VO2,-31.32398544,-2.47,,
V2O3,-55.8803916,-2.53,,
V2O5,-68.74066928,-2.29,,
YAs,-37.72018108,-1.68,,
YCl3,-48.05195753,-2.59,,
YF3,-46.73083987,-4.45,,
Y2O3,-76.01093293,-3.95,,
ZnCl2,-24.88434016,-1.43,,
ZnF2,-22.93915621,-2.64,,
ZnO,-18.17776522,-1.81,,
ZnP2,-27.39835804,-0.21,,
ZnS,-18.56469951,-1.07,,
ZnSb,-34.2449162,-0.08,,
ZnSe,-24.5538131,-0.85,,
ZnTe,-35.0223297,-0.61,,
Zn3As2,-55.97327076,-0.28,,
Zn3N2,-44.85086028,-0.05,,
Zn3P2,-44.83060163,-0.33,,
ZrN,-34.17124269,-1.89,,
ZrO2,-44.65746116,-3.8,,
ZrS2,-42.7937587,-1.96,,
