Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-68.10736614,-0.11,Ag,-30.69277503
Ag2O2,-74.47868406,-0.06,Al,-7.73443733
Ag2S,-71.39518129,-0.11,As,-20.19399038
Ag2Se,-81.85498238,-0.15,Au,-68.19461457
AlAs,-29.13136633,-0.61,Ba,-39.53105312
AlCl3,-38.51337646,-1.82,Be,-4.361090675
AlF3,-33.75016144,-3.9,Bi,-78.50007529
AlN,-20.4476091,-1.61,Ca,-9.62408816
AlP,-19.63149755,-0.85,Cd,-30.40931166
Al2O3,-51.07095055,-3.47,Cl,-7.87578512
Al2S3,-50.62639555,-1.5,Co,-14.90448031
Al2Se3,-80.62253931,-1.18,Cr,-15.98705214
Al2Te3,-129.7344279,-0.68,Cu,-14.44570449
AuCl,-76.68075512,-0.18,F,-3.45126813
AuCl3,-93.55758617,-0.3,Fe,-14.98597611
AuF3,-83.30505667,-0.94,Ga,-16.33990841
BaO,-51.21829436,-2.86,Ge,-19.03427702
BaO2,-58.21606331,-2.19,Hf,-61.2088398
BaS,-53.91270721,-2.38,Hg,-68.11453472
BeO,-16.67557399,-3.14,In,-33.30177935
BeS,-16.48000778,-1.21,Ir,-69.27206784
Be3N2,-38.10891631,-1.22,K,-8.30652421
CaCl2,-33.56536086,-2.75,La,-42.38035869
CaF2,-29.35843871,-4.21,Li,-2.341527307
CaO,-22.37583634,-3.29,Mg,-4.96557473
CaS,-24.154766,-2.45,Mn,-15.60975233
Ca3N2,-52.36435414,-0.91,N,-9.24220548
Ca3P2,-53.99048544,-1.22,Na,-4.18696378
CdCl2,-50.13162406,-1.35,Nb,-30.98738951
CdF2,-44.70631531,-2.42,Ni,-14.67196849
CdO,-39.07617649,-1.34,O,-6.160509685
CdS,-41.54572171,-0.78,P,-10.4095648
CdSb,-67.80566233,-0.07,Pd,-31.61429831
CdSe,-51.87494939,-0.75,Pt,-68.79402498
CdTe,-68.6273961,-0.48,Rb,-20.7289369
Cd3As2,-132.2205795,-0.08,Rh,-31.95633763
Cd3N2,-107.5835637,0.33,S,-9.635859889
Cd3P2,-112.5144666,-0.24,Sb,-37.2630499
CoF2,-30.67966821,-2.39,Sc,-13.14062822
CoF3,-35.35360821,-2.1,Se,-20.07549033
CoO,-25.23291443,-1.23,Si,-10.00748473
CoS,-26.67421414,-0.43,Sn,-35.87419984
CoSb3,-127.9924194,-0.17,Sr,-22.26143523
CoSe,-36.86613408,-0.32,Ta,-64.43429945
Co3O4,-83.17340303,-1.32,Te,-37.25294991
Co3S4,-90.65433378,-0.53,Ti,-14.20750556
CrF4,-43.92953948,-2.58,V,-15.12082824
CrN,-28.38430443,-0.65,Y,-27.07546025
CrO2,-35.87017497,-2.07,Zn,-12.95709504
CrS,-28.74887676,-0.81,Zr,-29.40840134
Cr2O3,-65.85106112,-2.36,,
CuF2,-27.34558686,-1.88,,
CuO,-22.45306316,-0.82,,
CuS,-24.65334753,-0.28,,
CuSe,-34.88996207,-0.21,,
Cu2O,-36.72693164,-0.58,,
Cu2S,-39.22701651,-0.28,,
Cu2Sb,-66.2213348,-0.04,,
Cu2Se,-49.31708668,-0.21,,
Cu2Te,-65.99720504,0.07,,
Cu3N,-51.87451882,0.19,,
Cu3P,-53.98605066,-0.17,,
Cu3Sb,-80.42046613,-0.02,,
FeF2,-31.78034632,-2.46,,
FeO,-26.2532526,-1.41,,
FeS,-27.65482683,-0.52,,
FeSe,-37.82666324,-0.39,,
Fe2O3,-61.82238796,-1.71,,
Fe3O4,-88.04325102,-1.66,,
GaAs,-37.29336067,-0.37,,
GaCl3,-45.0480817,-1.36,,
GaF3,-38.17386609,-3.01,,
GaN,-26.89645871,-0.81,,
GaP,-27.65732403,-0.53,,
GaS,-27.41145705,-1.09,,
GaSb,-53.92166759,-0.22,,
GaSe,-37.65914462,-0.83,,
Ga2O3,-61.65481151,-2.26,,
Ga2S3,-65.36531281,-1.07,,
Ga2Se3,-96.0742719,-0.85,,
GeO2,-36.92968747,-2,,
GeS,-29.18055856,-0.39,,
GeS2,-39.4026266,-0.66,,
GeSe,-39.49302336,-0.48,,
Ge3N4,-95.22222353,-0.09,,
HfN,-74.24441262,-1.91,,
HfO2,-85.33209964,-3.95,,
HgCl2,-86.02826008,-0.77,,
HgO,-74.97834485,-0.47,,
HgS,-78.04052249,-0.3,,
HgSe,-88.6014932,-0.24,,
HgTe,-105.7064478,-0.22,,
InAs,-54.11818561,-0.31,,
InN,-42.71978246,-0.1,,
InP,-44.29014597,-0.39,,
