Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-10.03132131,-0.11,Ag,-2.348338943
Ag2O2,-15.09162849,-0.06,Al,-3.73450631
Ag2S,-9.03958267,-0.11,As,-4.65218616
Ag2Se,-8.472489023,-0.15,Au,-2.89393054
AlAs,-9.38598913,-0.61,Ba,-1.91214227
AlCl3,-15.3006709,-1.82,Be,-3.765788538
AlF3,-23.30720289,-3.9,Bi,-3.87535669
AlN,-14.88998393,-1.61,Ca,-1.91542874
AlP,-10.37429708,-0.85,Cd,-0.73775614
Al2O3,-37.40358518,-3.47,Cl,-1.79413394
Al2S3,-25.14087017,-1.5,Co,-2.57612027
Al2Se3,-22.21245921,-1.18,Cr,-6.76816231
Al2Te3,-19.17127308,-0.68,Cu,-1.65623519
AuCl,-5.194916295,-0.18,F,-1.79351262
AuCl3,-9.529094798,-0.3,Fe,-2.934222895
AuF3,-12.39465444,-0.94,Ga,-2.902959895
BaO,-11.80900299,-2.86,Ge,-4.49178673
BaO2,-17.37401262,-2.19,Hf,-8.09466043
BaS,-10.19344206,-2.38,Hg,-0.174466333
BeO,-14.23032371,-3.14,In,-2.55765808
BeS,-10.01058102,-1.21,Ir,-7.22146804
Be3N2,-33.33604775,-1.22,K,-1.030581648
CaCl2,-12.82227453,-2.75,La,-4.878259378
CaF2,-17.37580992,-4.21,Li,-1.899169837
CaO,-12.83549711,-3.29,Mg,-1.506422835
CaS,-10.37803421,-2.45,Mn,-3.987468549
Ca3N2,-26.44857684,-0.91,N,-8.308970545
Ca3P2,-20.25818267,-1.22,Na,-1.305479595
CdCl2,-7.66671055,-1.35,Nb,-9.75588614
CdF2,-10.90123003,-2.42,Ni,-2.139963735
CdO,-7.72824647,-1.34,O,-4.936422855
CdS,-6.14140263,-0.78,P,-5.405276527
CdSb,-4.977916196,-0.07,Pd,-3.42957595
CdSe,-5.48856362,-0.75,Pt,-5.26390042
