Element,FERE Correction (eV)
Ag,-0.10957365322356614
Al,0.34831106421867375
As,-0.15725314973801607
Au,-0.3722236799181571
Ba,0.1653434962606213
Be,0.16006109428931592
Bi,-0.0618591766021916
Ca,0.2740801232474637
Cd,0.11176758740389062
Cl,-0.014859032933587682
Co,-0.8121159269783023
Cr,-0.9320098591028387
Cu,0.10369563791234629
F,-0.09167257617039282
Fe,-1.6706490600003832
Ga,0.38263337868785663
Ge,0.3122292299081704
Hf,0.14262781497180974
Hg,0.11514217737131258
In,0.008645574919644558
Ir,-0.21265326178779861
K,0.014538883340441719
La,-0.30950846447102165
Li,0.07259012646757149
Mg,0.16383134066091962
Mn,-1.3976354010165468
N,-0.3648640507634582
Na,-0.06200433176225582
Nb,0.071840554307403
Ni,-0.09042843885349405
O,0.014554155409921665
P,0.10546175115770681
Pd,-0.19285479872306643
Pt,-0.43022453970106744
Rb,0.04247689658005812
Rh,-0.45078079994087744
S,0.07022321298836483
Sb,-0.14476749047229165
Sc,0.0825190813700604
Se,0.00424051457039927
Si,-0.0181192158979905
Sn,0.02208913418232255
Sr,0.1622013593573512
Ta,0.11954350539336164
Te,-0.07139533595808994
Ti,-0.09725675560086217
V,-0.4719695422786233
Y,-0.022994634344222702
Zn,-0.0935647071023753
Zr,0.11298875332229387
