Element,FERE Correction (eV)
Ag,-0.1638497536296936
Al,0.26309146716603354
As,-0.06404935406983814
Au,-0.3983322045694222
Ba,0.10361335945944158
Be,0.08454285152975013
Bi,0.048491997319024885
Ca,0.20762984471221332
Cd,0.045799159362774906
Cl,0.0001523076439985189
Co,-1.544401895376584
Cr,-1.8460509575014368
Cu,0.026319618553757237
F,-0.09796971562258194
Fe,-2.8223004463621972
Ga,0.29922964596920243
Ge,0.17321812576426393
Hf,0.1649182827191313
Hg,0.06085072195961461
In,-0.08111398580459378
Ir,-0.5432410149952444
K,-0.03686812931395474
La,-0.5333120150159738
Li,0.039567941781144186
Mg,0.09756642705573679
Mn,-2.723807477147567
N,-0.24550266298387988
Na,-0.10321307057542778
Nb,-0.148175125381637
Ni,-0.2943028236134487
O,0.0498831887728135
P,0.20775792701929055
Pd,-0.2985805220591689
Pt,-0.5879144021155314
Rb,0.004538199849683844
Rh,-0.8152441439933896
S,0.14942652330323014
Sb,-0.04987209108448136
Sc,0.20045805290981628
Se,0.07078021741587615
Si,-0.16765927809810716
Sn,-0.06844688907929351
Sr,0.10804830871902502
Ta,0.0037464961887092897
Te,-0.011032786578003228
Ti,-0.1549263649614464
V,-0.9614127176007686
Y,-0.02409710566161158
Zn,-0.16349381867726454
Zr,-0.06750350172273345
