Element,FERE Correction (eV)
Ag,-0.09191350800895931
Al,0.3354062840350364
As,-0.07085848696087949
Au,-0.40819287399898374
Ba,0.18095175536406394
Be,0.07697642695254148
Bi,0.04960641159477802
Ca,0.24661485430031416
Cd,0.15364030965283815
Cl,-0.04581969648718243
Co,-1.6104213974245347
Cr,-1.7787865216856396
Cu,0.04578153577690791
F,-0.13133956735144628
Fe,-2.5606986522947586
Ga,0.4903132098076821
Ge,0.35878333038978727
Hf,0.32633966359990424
Hg,0.17458092506248976
In,0.06533632727474581
Ir,-0.37426040987578346
K,0.01767337789170645
La,-0.4282762399064458
Li,0.057446455310606215
Mg,0.15850887478032233
Mn,-2.4639334903509504
N,-0.35425328465508615
Na,-0.05504536965024101
Nb,0.05575783165392001
Ni,-0.34793650350586985
O,-0.07371001627236634
P,0.15306331242471183
Pd,-0.2810768789913922
Pt,-0.6519030026222501
Rb,0.05073151496900387
Rh,-0.8186742616709073
S,0.09175820672492867
Sb,-0.010429423033691623
Sc,0.253166895158712
Se,0.05259134016384291
Si,-0.05978679144764906
Sn,0.1326430016918026
Sr,0.19495383445181796
Ta,0.2029953896026126
Te,0.012080471045502346
Ti,-0.05633800354311683
V,-0.8779474001470127
Y,0.05577477087299694
Zn,-0.04674566761865233
Zr,0.033707813916655435
