Element,FERE Correction (eV)
Ag,-0.07524558771359333
Al,0.36106457803767616
As,-0.09967591633884032
Au,-0.4033264517247608
Ba,0.19818206535460867
Be,0.10101684616851513
Bi,0.014455267610947509
Ca,0.26724642640608376
Cd,0.17420788167552978
Cl,-0.050175320031206234
Co,-1.3375678075425361
Cr,-1.4577306904502696
Cu,0.0708004541493619
F,-0.12397624823363394
Fe,-2.1867671662610517
Ga,0.5155918121839411
Ge,0.4031182625844617
Hf,0.31545499349941286
Hg,0.1912639732014028
In,0.09347164120264614
Ir,-0.2561870285157325
K,0.03471730370001749
La,-0.35881273523611956
Li,0.0676801469059866
Mg,0.17957847419415815
Mn,-2.025111635252146
N,-0.39248159339838384
Na,-0.04210345773755615
Nb,0.12629663083351272
Ni,-0.27570731265593595
O,-0.08201810180022245
P,0.12048575140824837
Pd,-0.23967937767477124
Pt,-0.6023384054620894
Rb,0.06263505390047852
Rh,-0.6936539481525718
S,0.0649915333368605
Sb,-0.04329847451992114
Sc,0.2065778631335285
Se,0.03189311777256179
Si,-0.012262985819817315
Sn,0.16052949234540537
Sr,0.21202031817106878
Ta,0.2429413573623257
Te,-0.006850541253805649
Ti,-0.038864871874675785
V,-0.7170233045385689
Y,0.04719295456209792
Zn,-0.024904165595669225
Zr,0.09064456944170424
