Element,FERE Correction (eV)
Ag,-0.048796819875090505
Al,0.3589685020745887
As,-0.09356033744279646
Au,-0.4094387039647531
Ba,0.18564894287811917
Be,0.11235829938849143
Bi,0.013279793719275066
Ca,0.27474646913228795
Cd,0.17850688340662763
Cl,-0.03269953341053078
Co,-1.361926083679377
Cr,-1.998815309086733
Cu,0.124883321941342
F,-0.10309312482122114
Fe,-2.118093037118651
Ga,0.5095403371066503
Ge,0.4227749453640167
Hf,0.18086520578647097
Hg,0.18545569849873464
In,0.09759659391085213
Ir,0.019804690850929833
K,0.03450180087226329
La,-0.148334432404778
Li,0.06694511482656049
Mg,0.18291473307639794
Mn,-2.031695134512142
N,-0.414701313030285
Na,-0.04296500722728615
Nb,0.2754034457143673
Ni,-0.10069098772108835
O,-0.06749958427132513
P,0.10099195563775491
Pd,-0.1359566634082554
Pt,-0.4739645614206909
Rb,0.058905402542568375
Rh,-0.3147966300675585
S,0.05903534817963493
Sb,-0.046684534677301506
Sc,-0.021512773176286734
Se,0.031824397635055984
Si,0.008541131773055842
Sn,0.1562826862283213
Sr,0.2094315636863995
Ta,0.24035830733550312
Te,-0.02125435321598831
Ti,-0.055590719925309694
V,-0.4413445051274688
Y,-0.016445923176286847
Zn,-0.01961406129857382
Zr,0.19355101440455277
