Element,FERE Correction (eV)
Ag,-0.15954477435990225
Al,0.6147610264317634
As,-0.10588252662323105
Au,-0.6311980168065976
Ba,0.41577040093277906
Be,0.2621997582110009
Bi,-0.09197220906409757
Ca,0.429248754179977
Cd,0.19619293619924058
Cl,0.2061253611588415
Co,-1.6240380203660487
Cr,-0.7825220516209694
Cu,-0.03695792014666882
F,0.16976410426147415
Fe,-2.855968813548478
Ga,0.5237247830976267
Ge,0.32391659807678597
Hf,0.5805646452575802
Hg,0.06466930737933561
In,0.21769733319290901
Ir,-0.2908287888701268
K,0.16311689480136454
La,0.27053211746093936
Li,0.16090630569951236
Mg,0.35420773582168613
Mn,-2.713135472288635
N,-0.05471707500540896
Na,0.11326640419482888
Nb,0.19795542384399537
Ni,-0.3493913377365049
O,0.281474664745119
P,0.17313502358681154
Pd,-0.3227104318913503
Pt,-0.5426451776981328
Rb,0.18573109600292076
Rh,-0.372561162923537
S,0.2508567859663136
Sb,-0.023643962149454613
Sc,0.45869764312736644
Se,0.12260004567755324
Si,0.10169928477390817
Sn,0.021444583305507713
Sr,0.4222345027477659
Ta,0.17308426203638877
Te,0.0068406603966557735
Ti,0.15579647001333646
V,-0.7902312326831482
Y,0.44789226169879665
Zn,0.03194434113144369
Zr,0.32216333819417986
