Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.19096678666666614,-0.10699747894748886
Ag2O2,-0.06,-0.1700552549999994,-0.11705971971416318
Ag2S,-0.11,-0.15183084733333393,-0.09577843992232242
Ag2Se,-0.15,-0.17375759666666588,-0.09114445484464066
AlAs,-0.61,-0.6282580800000002,-0.7267625951927261
AlCl3,-1.82,-1.7647652487500007,-1.83414027028497
AlF3,-3.9,-3.903045795,-3.904312097697674
AlN,-1.61,-1.7121695399999997,-1.7156384153641149
AlP,-0.85,-0.7384366294999998,-0.9713199375486337
Al2O3,-3.47,-3.37442919,-3.5153295774658746
Al2S3,-1.5,-1.2373395971999996,-1.4284904052205731
Al2Se3,-1.18,-1.008525963999999,-1.1518674500807493
Al2Te3,-0.68,-0.5604062459999994,-0.6581874304186528
AuCl,-0.18,-0.32948546749999963,-0.13150780328119893
AuCl3,-0.3,-0.38549326875000034,-0.2840274017233462
AuF3,-0.94,-1.149793282500001,-0.9802186966360527
BaO,-2.86,-2.7308910650000016,-2.811931012510218
BaO2,-2.19,-2.078325460000002,-2.145660685678211
BaS,-2.38,-2.371662661000002,-2.4945779589724673
BeO,-3.14,-3.0109017885,-3.085646957031557
BeS,-1.21,-1.2067089895,-1.3233295084938064
Be3N2,-1.22,-1.2605675561999987,-1.2121364712632854
CaCl2,-2.75,-2.7106642900000004,-2.78395281428284
CaF2,-4.21,-4.26354314,-4.276290580871912
CaO,-3.29,-3.2485882949999993,-3.383438042265862
CaS,-2.45,-2.435296731,-2.6120218287281123
Ca3N2,-0.91,-0.9804604339999983,-1.0041548435444525
Ca3P2,-1.22,-0.8645092055999996,-1.0717351612920694
CdCl2,-1.35,-1.3400217066666684,-1.359381304750367
CdF2,-2.42,-2.4978626266666666,-2.4566811413394363
CdO,-1.34,-1.2663398799999985,-1.3202962379671508
CdS,-0.78,-0.7808579109999982,-0.8766896194293992
CdSb,-0.07,-0.1076644050000013,-0.10087029213099186
CdSe,-0.75,-0.7548625799999975,-0.8108531868128779
CdTe,-0.48,-0.5678292399999982,-0.5858529287611312
Cd3As2,-0.08,-0.17700276200000076,-0.17965361624889056
Cd3N2,0.33,0.4008675260000018,0.47424518361400203
Cd3P2,-0.24,-0.1286168876000005,-0.23877077613361736
CoF2,-2.39,-2.9349794599999997,-2.4386228411943414
CoF3,-2.1,-2.53532724,-2.1391183521580315
CoO,-1.23,-2.0213864899999994,-1.3925801477495074
CoS,-0.43,-1.051018611,-0.4640876192117567
CoSb3,-0.17,-0.30896539499999776,0.07660059137239017
CoSe,-0.32,-0.9498902349999998,-0.3231181415952378
Co3O4,-1.32,-1.8970589414285715,-1.3637857597873193
Co3S4,-0.53,-0.985176955428571,-0.49976131717274697
CrF4,-2.58,-2.8556619819999995,-2.470383493130943
CrN,-0.65,-1.5351540550000013,-0.6207769502715763
CrO2,-2.07,-2.485365123333333,-1.9975390898289014
CrS,-0.81,-1.6682013260000002,-0.9583747351985057
Cr2O3,-2.36,-3.006092586,-2.4127161893918427
CuF2,-1.88,-1.9519687033333344,-1.9058288470745417
CuO,-0.82,-0.8543566499999997,-0.9008754515698083
CuS,-0.28,-0.2999396359999995,-0.388333788032055
CuSe,-0.21,-0.21349063499999943,-0.2620436854155379
Cu2O,-0.58,-0.5512135033333342,-0.5999299780883453
Cu2S,-0.28,-0.2563146940000003,-0.3329480690631783
Cu2Sb,-0.04,0.004765330000000271,-0.0034508308642386964
Cu2Se,-0.21,-0.15393587666666755,-0.20400851731883307
Cu2Te,0.07,0.04009423000000112,0.015332868049000581
Cu3N,0.19,0.16483914249999998,0.19636141288472686
Cu3P,-0.17,-0.06967419724999857,-0.15285914320753236
Cu3Sb,-0.02,0.06510610250000148,0.045666026570467366
FeF2,-2.46,-3.359599423333332,-2.4787832005619053
FeO,-1.41,-2.620306815000001,-1.4148110668008567
FeS,-0.52,-1.6027410460000002,-0.43912064826310626
FeSe,-0.39,-1.4888978000000002,-0.2854363006465839
Fe2O3,-1.71,-2.7104170979999993,-1.7540056558435224
Fe3O4,-1.66,-2.6811430442857147,-1.6535646575456195
GaAs,-0.37,-0.4554297149999993,-0.5717050509994799
GaCl3,-1.36,-1.2929089737499995,-1.371169405688346
GaF3,-3.01,-2.8994886525000005,-2.909640365601051
GaN,-0.81,-0.700220019999998,-0.7214597161708678
GaP,-0.53,-0.5124640194999994,-0.763118148355387
GaS,-1.09,-0.7657985509999996,-0.9915887610977965
GaSb,-0.22,-0.2347527350000007,-0.357917123799389
GaSe,-0.83,-0.6924441150000007,-0.878393223481277
Ga2O3,-2.26,-2.1093217179999995,-2.264438762111277
Ga2S3,-1.07,-0.7988912331999998,-1.004258697865977
Ga2Se3,-0.85,-0.702584084,-0.860142226726154
GeO2,-2.0,-1.8554266166666669,-1.9552450634051535
GeS,-0.39,-0.24289128600000076,-0.4145314155628821
GeS2,-0.66,-0.3891222479999996,-0.5447744953548188
GeSe,-0.48,-0.20001599499999934,-0.3318150229463619
Ge3N4,-0.09,-0.19361471428571317,-0.12463087841436504
HfN,-1.91,-1.9080119800000013,-1.842222215264112
HfO2,-3.95,-3.917286330000001,-3.9951851898239235
HgCl2,-0.77,-0.7477785333333339,-0.771000254737551
HgO,-0.47,-0.3803597700000019,-0.44010931294792854
HgS,-0.3,-0.17119181099999992,-0.27281670441017525
HgSe,-0.24,-0.23742205000000283,-0.2992058417936576
HgTe,-0.22,-0.19255088500000284,-0.21636775874191017
InAs,-0.31,-0.3720087549999995,-0.2992343934703072
InN,-0.1,-0.10481233500000009,0.06299766635830828
InP,-0.39,-0.3192503895000005,-0.38085482082621347
InS,-0.7,-0.6744722260000007,-0.7112127385686229
InSb,-0.16,-0.2332694499999981,-0.16738414127021528
