Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.16344866499999947,-0.11441566896401885
Ag2O2,-0.06,-0.2138778925000011,-0.14333249321434138
Ag2S,-0.11,-0.08423968033333533,-0.07594576360984225
Ag2Se,-0.15,-0.08447898666666731,-0.06852857647368182
AlAs,-0.61,-0.6014693099999988,-0.7263742670091027
AlCl3,-1.82,-1.7878959425000005,-1.8534146457565575
AlF3,-3.9,-3.91547993,-3.9390786979424712
AlN,-1.61,-1.735483145,-1.697958848734741
AlP,-0.85,-0.7437477099999992,-0.9714922907178796
Al2O3,-3.47,-3.424109367,-3.526040103081145
Al2S3,-1.5,-1.2499882445999986,-1.4252493234436314
Al2Se3,-1.18,-0.9854387319999972,-1.146918122598538
Al2Te3,-0.68,-0.5013407019999988,-0.6376300321047268
AuCl,-0.18,-0.27832934500000306,-0.07162724092687256
AuCl3,-0.3,-0.4356914150000044,-0.29977770617532684
AuF3,-0.94,-1.1722423175000038,-0.9944086733612387
BaO,-2.86,-2.763365777499999,-2.834423910016202
BaO2,-2.19,-2.121330273333333,-2.1236748253325737
BaS,-2.38,-2.3728971004999977,-2.5050638519849393
BeO,-3.14,-3.0769868149999997,-3.1040915667028557
BeS,-1.21,-1.2415286080000003,-1.3297419786715947
Be3N2,-1.22,-1.3082466649999993,-1.2088221939500727
CaCl2,-2.75,-2.7299008199999997,-2.8017736107103204
CaF2,-4.21,-4.277271430000002,-4.31188205598669
CaO,-3.29,-3.2956192474999995,-3.40101244262436
CaS,-2.45,-2.4474089754999984,-2.6139107895930973
Ca3N2,-0.91,-1.00153574,-0.9960574010558787
Ca3P2,-1.22,-0.8598182720000012,-1.0665550346423913
CdCl2,-1.35,-1.32358072,-1.3639490059386408
CdF2,-2.42,-2.464822463333334,-2.4679285845483414
CdO,-1.34,-1.2531775725000003,-1.311314010466841
CdS,-0.78,-0.7502750804999998,-0.869520137435579
CdSb,-0.07,-0.06665038500000264,-0.11726056293334608
CdSe,-0.75,-0.6950736999999982,-0.8028340167313317
CdTe,-0.48,-0.48256726500000013,-0.569335864653155
Cd3As2,-0.08,-0.12093275200000449,-0.18868970708634833
Cd3N2,0.33,0.42575644800000134,0.4879428955331463
Cd3P2,-0.24,-0.09348040400000172,-0.24350905805336823
CoF2,-2.39,-2.457760050000001,-2.19108777866769
CoF3,-2.1,-2.206682644999999,-1.9764238013353488
CoO,-1.23,-1.4605498174999987,-1.1140186666458582
CoS,-0.43,-0.5607515754999977,-0.2753290436145974
CoSb3,-0.17,-0.29407023249999753,-0.041973962505338136
CoSe,-0.32,-0.4379344749999987,-0.14102720291035453
Co3O4,-1.32,-1.745420847142857,-1.4290966308343533
Co3S4,-0.53,-0.7865508677142847,-0.5400650730843414
CrF4,-2.58,-2.777608276000001,-2.6159412877533343
CrN,-0.65,-1.0299804799999972,-0.6016004575639666
CrO2,-2.07,-2.279636473333331,-2.081494501114657
CrS,-0.81,-0.8558913454999981,-0.687328310658069
Cr2O3,-2.36,-2.5835490969999997,-2.372795252144526
CuF2,-1.88,-1.8810067966666668,-1.8547034452509277
CuO,-0.82,-0.8372052925000002,-0.8512275215207179
CuS,-0.28,-0.2675243804999994,-0.3426552284894573
CuSe,-0.21,-0.1658407749999995,-0.22948688278521345
Cu2O,-0.58,-0.517701908333334,-0.5814257500391852
Cu2S,-0.28,-0.18605420366666672,-0.2905171246850126
Cu2Sb,-0.04,-0.012570539999998687,-0.07127687501685405
Cu2Se,-0.21,-0.06734164666666705,-0.16414807421551578
Cu2Te,0.07,0.07424905666666841,-0.008562892830065985
Cu3N,0.19,0.21632182749999984,0.2271013637642625
Cu3P,-0.17,-0.035540375000001845,-0.15739527722730884
Cu3Sb,-0.02,0.06564158999999847,-0.01916992803167261
FeF2,-2.46,-2.6904274733333344,-2.3799143048448728
FeO,-1.41,-1.7283849274999987,-1.3160924309116346
FeS,-0.52,-0.9218073754999985,-0.5706234978803728
FeSe,-0.39,-0.7695592550000008,-0.4068906371761294
Fe2O3,-1.71,-2.100794951,-1.7439444319223696
Fe3O4,-1.66,-2.0304815428571437,-1.6577904587764465
GaAs,-0.37,-0.37973094000000174,-0.5799745450212832
GaCl3,-1.36,-1.2702044824999987,-1.3733925097626454
GaF3,-3.01,-2.8700383224999992,-2.93130641444856
GaN,-0.81,-0.6571724099999994,-0.6949867617469199
GaP,-0.53,-0.45392541000000186,-0.7570086387300599
