Element,FERE Correction (eV)
Ag,-0.14591685258586387
Al,0.29236229564339555
As,-0.09535326525794185
Au,-0.3910012586030982
Ba,0.12215411300624204
Be,0.10956455504892089
Bi,0.011653585466844746
Ca,0.22977371251753248
Cd,0.06798693392010895
Cl,-0.004954069834504632
Co,-1.2975384665151755
Cr,-1.5433296645416823
Cu,0.05311182112542136
F,-0.09576569495089979
Fe,-2.450917278412481
Ga,0.3279039372569021
Ge,0.21960377618707336
Hf,0.1538450154433884
Hg,0.07957330388166138
In,-0.05019545780144641
Ir,-0.431639130589653
K,-0.01977042316919346
La,-0.4630978299233488
Li,0.05052591601624169
Mg,0.11980035154457402
Mn,-2.2787979031428
N,-0.28542454491516706
Na,-0.08917993932666315
Nb,-0.07685044654252345
Ni,-0.23026035476226928
O,0.0399257820141935
P,0.17340432045387286
Pd,-0.2592569288458023
Pt,-0.5385742765406871
Rb,0.01671281143086399
Rh,-0.6944869381242154
S,0.12367648293869107
Sb,-0.08157515965812692
Sc,0.15744534036128582
Se,0.04399427970565225
Si,-0.11732183202792354
Sn,-0.03720019666260281
Sr,0.12556696521830196
Ta,0.04149012251889429
Te,-0.031939556397845195
Ti,-0.13582237714184847
V,-0.7972335011292389
Y,-0.029650509638711853
Zn,-0.13997691730354445
Zr,-0.01063785299686719
