Element,FERE Correction (eV)
Ag,-0.03987368876180897
Al,0.4155726469356968
As,-0.1607486273147516
Au,-0.3719947557859813
Ba,0.23845372769101442
Be,0.14972081080106858
Bi,-0.057600820076437104
Ca,0.31112427252158015
Cd,0.21750125046585084
Cl,-0.05997111240195741
Co,-0.866792072481882
Cr,-0.8732204239509622
Cu,0.12282740177617554
F,-0.12551790767808094
Fe,-1.4238617650756997
Ga,0.5687099960009345
Ge,0.49232207728419186
Hf,0.30778118588614545
Hg,0.22533887272617106
In,0.15001293226623752
Ir,-0.040890409922737486
K,0.06839555933311907
La,-0.20659412115820625
Li,0.08914275380586645
Mg,0.2230707536691069
Mn,-1.151867190343144
N,-0.46955281321585945
Na,-0.0157426597919436
Nb,0.27760974742573946
Ni,-0.1324696620604161
O,-0.10576744927821324
P,0.0526700680828406
Pd,-0.17440140896246023
Pt,-0.49266089577782346
Rb,0.08781591996872652
Rh,-0.43836567071380644
S,0.015424588761610819
Sb,-0.10605751216534738
Sc,0.13531322331773174
Se,-0.006702306832490956
Si,0.08346018677404039
Sn,0.21648535067455077
Sr,0.24751533977787282
Ta,0.32046371684631736
Te,-0.045721737477855476
Ti,-0.0014910534920680452
V,-0.38714547789881354
Y,0.05880562760345304
Zn,0.02102743170495239
Zr,0.21298366074969055
