Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.17912479000000067,-0.11092707298759545
Ag2O2,-0.06,-0.18119138499999998,-0.1336816360931774
Ag2S,-0.11,-0.13191420066666618,-0.08227283618040815
Ag2Se,-0.15,-0.15019350666666753,-0.07855790937442227
AlAs,-0.61,-0.6282580800000002,-0.7237870372403279
AlCl3,-1.82,-1.7647652487500007,-1.8406987401044788
AlF3,-3.9,-3.903045795,-3.921369128926874
AlN,-1.61,-1.7121695399999997,-1.7038930467276074
AlP,-0.85,-0.7384366294999998,-0.96532303718819
Al2O3,-3.47,-3.37442919,-3.5224861089334234
Al2S3,-1.5,-1.2373395971999996,-1.4187979506804893
Al2Se3,-1.18,-1.008525963999999,-1.1503946984297087
Al2Te3,-0.68,-0.5604062459999994,-0.6568934701126153
AuCl,-0.18,-0.3169494524999976,-0.12340809607412595
AuCl3,-0.3,-0.3892710487500004,-0.2850708540702698
AuF3,-0.94,-1.14503545,-0.9832250978926655
BaO,-2.86,-2.7308910650000016,-2.8208398908352734
BaO2,-2.19,-2.078325460000002,-2.1431427290268226
BaS,-2.38,-2.371662661000002,-2.4894460156244946
BeO,-3.14,-3.0109017885,-3.0982094133496183
BeS,-1.21,-1.2067089895,-1.32185114313884
Be3N2,-1.22,-1.2605675561999987,-1.2106585924682052
CaCl2,-2.75,-2.7106642900000004,-2.7921183091267623
CaF2,-4.21,-4.26354314,-4.293788130302226
CaO,-3.29,-3.2485882949999993,-3.392905434328692
CaS,-2.45,-2.435296731,-2.6074483991179145
Ca3N2,-0.91,-0.9804604339999983,-0.9989628876430942
Ca3P2,-1.22,-0.8645092055999996,-1.0711419800115607
CdCl2,-1.35,-1.3400217066666684,-1.3673715471789052
CdF2,-2.42,-2.4978626266666666,-2.474003438354367
CdO,-1.34,-1.2663398799999985,-1.329500751406906
CdS,-0.78,-0.7808579109999982,-0.8718533111961264
CdSb,-0.07,-0.1076644050000013,-0.09116445346580093
CdSe,-0.75,-0.7548625799999975,-0.8128666309871448
CdTe,-0.48,-0.5678292399999982,-0.5880153657228995
Cd3As2,-0.08,-0.17700276200000076,-0.18116205454712714
Cd3N2,0.33,0.4008675260000018,0.4797525938630514
Cd3P2,-0.24,-0.1286168876000005,-0.23786214050541615
CoF2,-2.39,-2.684546826666667,-2.3527264668936376
CoF3,-2.1,-2.3756144125,-2.10383099862763
CoO,-1.23,-1.7047749299999992,-1.3059940442158098
CoS,-0.43,-0.7886950959999997,-0.41774873900503096
CoSb3,-0.17,-0.29315197249999514,0.018452627098792362
CoSe,-0.32,-0.6873634849999988,-0.28342577879604747
Co3O4,-1.32,-1.6779373242857147,-1.3382043015292544
Co3S4,-0.53,-0.8576211640000001,-0.5496990312883655
CrF4,-2.58,-2.7720836120000003,-2.512343579243118
CrN,-0.65,-1.2543487650000014,-0.6059118100668517
CrO2,-2.07,-2.361610393333334,-2.060643210572335
CrS,-0.81,-1.3078444410000003,-0.8769511179427631
Cr2O3,-2.36,-2.7561341119999994,-2.392062661604817
CuF2,-1.88,-1.8955800566666667,-1.8690302185238548
CuO,-0.82,-0.8151846650000003,-0.8743095616611338
CuS,-0.28,-0.2911519309999999,-0.378111356450356
CuSe,-0.21,-0.2035819950000004,-0.2575500712413721
Cu2O,-0.58,-0.5309407433333343,-0.6049225537448729
Cu2S,-0.28,-0.2304615339999998,-0.32299969693768676
Cu2Sb,-0.04,0.010809356666667233,-0.010065238450801909
Cu2Se,-0.21,-0.1288374266666684,-0.19938135679836697
Cu2Te,0.07,0.05583399666666603,0.010502016711131526
Cu3N,0.19,0.1852206625000008,0.19866494675660462
