Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.1969931966666678,-0.1043877571711415
Ag2O2,-0.06,-0.1643100250000007,-0.10732674257156027
Ag2S,-0.11,-0.16191019733333434,-0.10248586934794683
Ag2Se,-0.15,-0.18566381333333482,-0.10002405005216275
AlAs,-0.61,-0.6282580800000002,-0.7277791365480972
AlCl3,-1.82,-1.7647652487500007,-1.8306523462745075
AlF3,-3.9,-3.903045795,-3.8953413750745716
AlN,-1.61,-1.7121695399999997,-1.7209639420910765
AlP,-0.85,-0.7384366294999998,-0.9738613265926617
Al2O3,-3.47,-3.37442919,-3.5095956901301024
Al2S3,-1.5,-1.2373395971999996,-1.4322320980483512
Al2Se3,-1.18,-1.008525963999999,-1.1562306813159395
Al2Te3,-0.68,-0.5604062459999994,-0.6590231609196138
AuCl,-0.18,-0.3352859475000045,-0.13619599903729096
AuCl3,-0.3,-0.3829047362500013,-0.283435915840645
AuF3,-0.94,-1.1515264225,-0.9784660846407078
BaO,-2.86,-2.7308910650000016,-2.807639339116129
BaO2,-2.19,-2.078325460000002,-2.146118705668357
BaS,-2.38,-2.371662661000002,-2.498182602381334
BeO,-3.14,-3.0109017885,-3.078114808651282
BeS,-1.21,-1.2067089895,-1.3236936769164895
Be3N2,-1.22,-1.2605675561999987,-1.2130922019242973
CaCl2,-2.75,-2.7106642900000004,-2.779975776666736
CaF2,-4.21,-4.26354314,-4.267439944489017
CaO,-3.29,-3.2485882949999993,-3.377344811742512
CaS,-2.45,-2.435296731,-2.613824915007722
Ca3N2,-0.91,-0.9804604339999983,-1.0068372756337751
Ca3P2,-1.22,-0.8645092055999996,-1.0721902832350438
CdCl2,-1.35,-1.3400217066666684,-1.3553896315502574
CdF2,-2.42,-2.4978626266666666,-2.447815869372537
CdO,-1.34,-1.2663398799999985,-1.3141810540677934
CdS,-0.78,-0.7808579109999982,-0.8784707523330013
CdSb,-0.07,-0.1076644050000013,-0.10562793913914703
CdSe,-0.75,-0.7548625799999975,-0.8131522683893238
CdTe,-0.48,-0.5678292399999982,-0.5852124263923848
Cd3As2,-0.08,-0.17700276200000076,-0.17886251598972933
Cd3N2,0.33,0.4008675260000018,0.471589095575888
Cd3P2,-0.24,-0.1286168876000005,-0.23919955402538165
CoF2,-2.39,-3.0593728266666673,-2.479259051126084
CoF3,-2.1,-2.6153288999999997,-2.1557511394389177
CoO,-1.23,-2.182542425000001,-1.435283071698116
CoS,-0.43,-1.190448851000001,-0.4929611649633241
CoSb3,-0.17,-0.31640512499999573,0.1070994171575066
CoSe,-0.32,-1.088169765,-0.35135892601964613
Co3O4,-1.32,-2.00903303,-1.3756511827087852
Co3S4,-0.53,-1.0517254082857141,-0.475225466440451
CrF4,-2.58,-2.8968413019999995,-2.449255338001646
CrN,-0.65,-1.6770385199999982,-0.6312617097573412
CrO2,-2.07,-2.5484836100000003,-1.9663887500147308
CrS,-0.81,-1.8480542559999993,-0.9997420389008962
