Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.17533689166666497,-0.11349861606605316
Ag2O2,-0.06,-0.20369568250000114,-0.1308751134799877
Ag2S,-0.11,-0.1044719969999998,-0.0830310674126622
Ag2Se,-0.15,-0.10778672666666485,-0.07897016521462774
AlAs,-0.61,-0.6014693099999988,-0.7288813198104727
AlCl3,-1.82,-1.7878959425000005,-1.846810769932457
AlF3,-3.9,-3.91547993,-3.925234660975363
AlN,-1.61,-1.735483145,-1.7084930618599188
AlP,-0.85,-0.7437477099999992,-0.9778690675092676
Al2O3,-3.47,-3.424109367,-3.5268779562073505
Al2S3,-1.5,-1.2499882445999986,-1.4254720566312442
Al2Se3,-1.18,-0.9854387319999972,-1.147646406674781
Al2Te3,-0.68,-0.5013407019999988,-0.6401367182875617
AuCl,-0.18,-0.29218869000000325,-0.07620575590603806
AuCl3,-0.3,-0.4356035975000019,-0.297626574252039
AuF3,-0.94,-1.1814076675000003,-0.9942705477949474
BaO,-2.86,-2.763365777499999,-2.8297089167064016
BaO2,-2.19,-2.121330273333333,-2.130303216378197
BaS,-2.38,-2.3728971004999977,-2.4998362587263117
BeO,-3.14,-3.0769868149999997,-3.098963495761428
BeS,-1.21,-1.2415286080000003,-1.3241013077813406
Be3N2,-1.22,-1.3082466649999993,-1.2102580261942961
CaCl2,-2.75,-2.7299008199999997,-2.793628169239222
CaF2,-4.21,-4.277271430000002,-4.297300915721807
CaO,-3.29,-3.2956192474999995,-3.398297659121683
CaS,-2.45,-2.4474089754999984,-2.610683406141595
Ca3N2,-0.91,-1.00153574,-1.000389178226604
Ca3P2,-1.22,-0.8598182720000012,-1.0675608627460833
CdCl2,-1.35,-1.32358072,-1.3561003952206458
CdF2,-2.42,-2.464822463333334,-2.4536442750365643
CdO,-1.34,-1.2531775725000003,-1.3090444730938202
CdS,-0.78,-0.7502750804999998,-0.866738000113731
CdSb,-0.07,-0.06665038500000264,-0.12237225415025677
CdSe,-0.75,-0.6950736999999982,-0.8004731718166767
CdTe,-0.48,-0.48256726500000013,-0.5684570214939981
Cd3As2,-0.08,-0.12093275200000449,-0.1871340513536154
Cd3N2,0.33,0.42575644800000134,0.4830768230068315
Cd3P2,-0.24,-0.09348040400000172,-0.24504918151264973
CoF2,-2.39,-2.7119242999999997,-2.339315004053985
CoF3,-2.1,-2.367324427499999,-2.056487978620968
CoO,-1.23,-1.7720407875,-1.2857610266199533
CoS,-0.43,-0.8052399055000006,-0.37955616363986344
CoSb3,-0.17,-0.312552114999999,-0.016310962755518688
CoSe,-0.32,-0.6830333050000021,-0.2462861153428122
Co3O4,-1.32,-1.7737401742857142,-1.341819315063071
Co3S4,-0.53,-0.9221657419999981,-0.55949747594297
CrF4,-2.58,-2.784890333999999,-2.5098319230673427
CrN,-0.65,-1.2979573799999997,-0.6265707614165876
CrO2,-2.07,-2.3964036566666658,-2.034818549164202
CrS,-0.81,-1.2064076354999997,-0.7775097179053247
Cr2O3,-2.36,-2.829571016999998,-2.416822377852685
CuF2,-1.88,-1.9387066966666662,-1.8959705588066715
CuO,-0.82,-0.8781887825000005,-0.886718758748982
CuS,-0.28,-0.27577117550000096,-0.3448971707688937
CuSe,-0.21,-0.17355842499999952,-0.23162097247184477
Cu2O,-0.58,-0.536486585000001,-0.58311570309138
Cu2S,-0.28,-0.20723214699999915,-0.29425861110465473
Cu2Sb,-0.04,-0.015341163333336757,-0.06187359379566715
Cu2Se,-0.21,-0.08861395000000034,-0.16826478223995403
Cu2Te,0.07,0.06476262666666817,-0.001881728691500939
Cu3N,0.19,0.19790645750000024,0.22317410947183092
Cu3P,-0.17,-0.04488622000000042,-0.15017428835284363
Cu3Sb,-0.02,0.05683568499999936,-0.008770488290796408
FeF2,-2.46,-2.99325453,-2.4349553365227137
FeO,-1.41,-2.1290030274999996,-1.3641884203230443
FeS,-0.52,-1.183607620500002,-0.47938903234295793
FeSe,-0.39,-1.049103044999999,-0.3338210090459057
Fe2O3,-1.71,-2.3821778069999993,-1.7491726314027916
Fe3O4,-1.66,-2.329170287142856,-1.6585052739514359
GaAs,-0.37,-0.37973094000000174,-0.583711624343092
GaCl3,-1.36,-1.2702044824999987,-1.3674036471987652
GaF3,-3.01,-2.8700383224999992,-2.918077390741672
GaN,-0.81,-0.6571724099999994,-0.7067510013925382
GaP,-0.53,-0.45392541000000186,-0.7646154420418885
GaS,-1.09,-0.7178443754999986,-1.0099116678812727
GaSb,-0.22,-0.1593546400000001,-0.3906808819177918
GaSe,-0.83,-0.6218729399999994,-0.9028767845842225
Ga2O3,-2.26,-2.0986931270000015,-2.2627166558334464
Ga2S3,-1.07,-0.7555832646000014,-0.9923220162573415
Ga2Se3,-0.85,-0.633596817999998,-0.8570594323008777
GeO2,-2.0,-1.8581303599999994,-1.9517260862425871
GeS,-0.39,-0.25521082550000074,-0.5090841585229029
GeS2,-0.66,-0.3655432673333318,-0.5399336856024703
GeSe,-0.48,-0.19162800500000188,-0.4344378902258512
Ge3N4,-0.09,-0.16436722142856905,-0.10704650414130461
HfN,-1.91,-1.960727519999999,-1.8798417063351351
HfO2,-3.95,-3.9380234333333326,-3.970105529109906
HgCl2,-0.77,-0.7207183733333314,-0.7558505893074189
HgO,-0.47,-0.3516502225000053,-0.41143593422398084
HgS,-0.3,-0.14506394050000182,-0.26544567124389573
HgSe,-0.24,-0.2057340749999952,-0.31505235794683983
HgTe,-0.22,-0.16948158500000687,-0.25929015262416044
InAs,-0.31,-0.31120794000000274,-0.30584009247574073
InN,-0.1,-0.08789881499999908,0.07187112547481078
InP,-0.39,-0.28940091000000123,-0.39074241017453915
InS,-0.7,-0.6618872955000015,-0.7446060560139252
InSb,-0.16,-0.17072130999999757,-0.1926990200504477
InSe,-0.62,-0.6361601649999997,-0.7078154777168706
InTe,-0.5,-0.33253717000000904,-0.38468276739419593
In2O3,-1.92,-1.9089552970000028,-1.905500000339569
In2S3,-0.74,-0.7118978986000002,-0.7811578247634628
In2Se3,-0.67,-0.6295026619999987,-0.6854864508069994
In2Te3,-0.41,-0.3603806540000051,-0.3929527844197821
IrO2,-0.95,-0.9752530499999968,-0.8911112805069431
IrS2,-0.48,-0.5200456373333301,-0.5166985598668248
Ir2S3,-0.49,-0.503758458599998,-0.49665704788786796
KCl,-2.26,-2.215977855,-2.2201900784655813
KF,-2.94,-2.9213509350000013,-2.8927897608275197
KSb,-0.43,-0.5144259600000005,-0.4955949835838851
KSb2,-0.37,-0.3434677333333364,-0.2955612450008071
K2O,-1.25,-1.1816437816666674,-1.1919850047960097
K2O2,-1.28,-1.213911187499999,-1.195225242527453
K2S,-1.31,-1.2399804069999998,-1.2907189761426163
K2S2,-1.12,-1.0901022054999991,-1.1320122795473644
K2Se,-1.36,-1.2653305133333344,-1.3086934506112513
K3As,-0.48,-0.42440555750000186,-0.435515070171153
K3Bi,-0.6,-0.45121557000000223,-0.48811203448073215
K3Sb,-0.47,-0.49135821750000197,-0.5161405089585038
K5Sb4,-0.44,-0.5145318166666691,-0.5053926775560235
LaCl3,-2.78,-2.8404212399999977,-2.743794375408978
LaN,-1.57,-1.667562549999996,-1.329489082812966
LaS,-2.36,-2.4520780654999967,-2.3564932993017003
La2O3,-3.72,-3.8491041249999993,-3.7030060069697894
La2S3,-2.51,-2.566036282599998,-2.492653387393685
La2Te3,-1.63,-1.8376970700000015,-1.7276263790500024
LiCl,-2.12,-2.0818576165000007,-2.0964434372019554
LiF,-3.19,-3.2155420665,-3.1973544895638923
Li2O,-2.07,-2.0494937869999994,-2.073666473111173
Li2O2,-1.64,-1.6175291889999999,-1.6092168412638275
Li2S,-1.52,-1.5225120656666669,-1.587082097791115
Li2Se,-1.45,-1.425030468666666,-1.4822248689264133
Li3Bi,-0.6,-0.5936954847500004,-0.6461523450852944
Li3N,-0.43,-0.5022579497499997,-0.4517268118004356
Li3Sb,-0.83,-0.6935138872500008,-0.7338565745630632
MgCl2,-2.21,-2.1636430966666667,-2.198019272955064
MgF2,-3.88,-3.8893185533333328,-3.8799968661043143
MgO,-3.11,-3.080353797499999,-3.1390054496954463
MgS,-1.79,-1.6719959204999997,-1.791243591715359
MgSe,-1.52,-1.4494488399999987,-1.5576330634183062
MgTe,-1.08,-0.9896770650000022,-1.0783515730956275
Mg3As2,-0.91,-0.7497581740000001,-0.8193011752755638
Mg3Bi2,-0.32,-0.26177072599999746,-0.3725728501708943
Mg3N2,-0.96,-1.0132083139999992,-0.9592296409151203
Mg3P2,-0.96,-0.8128687360000001,-0.9677792154345994
Mg3Sb2,-0.49,-0.4232632859999995,-0.514682733335323
MnO,-2.0,-2.5313669574999995,-1.9025496376893223
MnS,-1.11,-1.6447267855000014,-1.0765054847092337
MnS2,-0.72,-1.0531879306666667,-0.679515259726692
MnSb,-0.26,-0.7460145549999986,-0.11705220374575376
Mn2O3,-1.99,-2.554095713000001,-2.029888367295817
Mn3O4,-2.05,-2.616970000000001,-2.0628740902653897
NaCl,-2.13,-2.1263367000000013,-2.088479813903051
NaF,-2.97,-3.0657736,-2.995143316264988
NaSb,-0.33,-0.4083855600000028,-0.34748547402135443
NaTe3,-0.35,-0.4766618725000029,-0.4384349044436249
Na2O,-1.43,-1.4829275283333334,-1.4371766053792996
Na2O2,-1.32,-1.3491958075000001,-1.288440752964922
Na2S,-1.26,-1.304470163666667,-1.2991165867259085
Na2S2,-1.03,-1.0317127929999987,-1.0315537574848328
Na2Se,-1.18,-1.2766228933333323,-1.263893684527872
Na2Se2,-0.97,-1.0106724474999993,-0.9994499641877823
Na3As,-0.53,-0.5452746175000005,-0.49328046582735574
Na3Bi,-0.46,-0.46358731750000004,-0.4373801176369341
Na3Sb,-0.53,-0.5332746325000013,-0.4949532596147055
NbN,-1.22,-1.280113274999998,-1.1841417421049378
NbO2,-2.75,-2.751616779999999,-2.7736417296231033
Nb2O5,-2.81,-2.8062876307142863,-2.8100565233514874
NiF2,-2.25,-2.5682017599999996,-2.440366600861141
NiO,-1.24,-1.5733306775000013,-1.454212121830686
NiS,-0.43,-0.6169367604999998,-0.5584142238505976
NiSb,-0.34,-0.3937330650000028,-0.27446947788711995
NiSe,-0.31,-0.41806285999999915,-0.3484768755535441
NiTe,-0.28,-0.29552063000000217,-0.20642493023086672
