Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.19305869500000009,-0.10721301756990442
Ag2O2,-0.06,-0.18741922000000244,-0.10460745785933767
Ag2S,-0.11,-0.1347945103333359,-0.10410490723567041
Ag2Se,-0.15,-0.1429506899999969,-0.09920546471530638
AlAs,-0.61,-0.6014693099999988,-0.7337432085370779
AlCl3,-1.82,-1.7878959425000005,-1.8373827411433732
AlF3,-3.9,-3.91547993,-3.900826825495174
AlN,-1.61,-1.735483145,-1.7260596446899754
AlP,-0.85,-0.7437477099999992,-0.987982508229873
Al2O3,-3.47,-3.424109367,-3.5140458708505933
Al2S3,-1.5,-1.2499882445999986,-1.4392056822489707
Al2Se3,-1.18,-0.9854387319999972,-1.1511560497123186
Al2Te3,-0.68,-0.5013407019999988,-0.642751498241313
AuCl,-0.18,-0.3112937300000027,-0.0842874447569173
AuCl3,-0.3,-0.43239052250000043,-0.2959775316348683
AuF3,-0.94,-1.1924316400000023,-0.9918787459866678
BaO,-2.86,-2.763365777499999,-2.816986647045848
BaO2,-2.19,-2.121330273333333,-2.1325075142731102
BaS,-2.38,-2.3728971004999977,-2.5092520815444956
BeO,-3.14,-3.0769868149999997,-3.0786200203400877
BeS,-1.21,-1.2415286080000003,-1.3258959248387354
Be3N2,-1.22,-1.3082466649999993,-1.2127312073094885
CaCl2,-2.75,-2.7299008199999997,-2.7815593071086497
CaF2,-4.21,-4.277271430000002,-4.271916669865807
CaO,-3.29,-3.2956192474999995,-3.3820716665139745
CaS,-2.45,-2.4474089754999984,-2.6165955060126205
Ca3N2,-0.91,-1.00153574,-1.0078033387181549
Ca3P2,-1.22,-0.8598182720000012,-1.0690125095500747
CdCl2,-1.35,-1.32358072,-1.3442476922261595
CdF2,-2.42,-2.464822463333334,-2.428476188316649
CdO,-1.34,-1.2531775725000003,-1.2931427191902358
CdS,-0.78,-0.7502750804999998,-0.8729743386888842
CdSb,-0.07,-0.06665038500000264,-0.13825582830957472
CdSe,-0.75,-0.6950736999999982,-0.7981895249083379
CdTe,-0.48,-0.48256726500000013,-0.5654276553491684
Cd3As2,-0.08,-0.12093275200000449,-0.18477354300735555
Cd3N2,0.33,0.42575644800000134,0.4752735760703331
Cd3P2,-0.24,-0.09348040400000172,-0.2468899147615872
CoF2,-2.39,-3.0813088566666678,-2.4569420126241908
CoF3,-2.1,-2.603508077500001,-2.1023980526302823
CoO,-1.23,-2.2448653325,-1.40279962565155
CoS,-0.43,-1.2068946154999995,-0.4475630201501968
CoSb3,-0.17,-0.3315806675000026,0.07884674913140088
CoSe,-0.32,-1.081457725,-0.3025426963696525
Co3O4,-1.32,-2.1130143142857145,-1.3807137060909906
Co3S4,-0.53,-1.1279459205714286,-0.49019858266087063
CrF4,-2.58,-2.906665684000001,-2.445836725781715
CrN,-0.65,-1.7184326199999997,-0.651912716829635
CrO2,-2.07,-2.5844468166666665,-1.9423779652565425
CrS,-0.81,-1.7408235954999984,-0.8973094380196436
Cr2O3,-2.36,-3.203264435,-2.447523816562324
CuF2,-1.88,-2.0291086566666663,-1.956809457024671
CuO,-0.82,-0.9461322325000001,-0.9321679922522694
CuS,-0.28,-0.29042010050000044,-0.3591899717509186
CuSe,-0.21,-0.18961668000000031,-0.23880311797037734
Cu2O,-0.58,-0.5684783483333339,-0.5744293667604813
