Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.16344866499999947,-0.10841759032616476
Ag2O2,-0.06,-0.2138778925000011,-0.1557296904267922
Ag2S,-0.11,-0.08423968033333533,-0.07138691647648443
Ag2Se,-0.15,-0.08447898666666731,-0.06255590596162601
AlAs,-0.61,-0.6014693099999988,-0.7341733923158955
AlCl3,-1.82,-1.7878959425000005,-1.853113417960751
AlF3,-3.9,-3.91547993,-3.9279022119027314
AlN,-1.61,-1.735483145,-1.7076167395221518
AlP,-0.85,-0.7437477099999992,-0.9737279388561717
Al2O3,-3.47,-3.424109367,-3.527197017267041
Al2S3,-1.5,-1.2499882445999986,-1.4289968543376148
Al2Se3,-1.18,-0.9854387319999972,-1.1481207714108677
Al2Te3,-0.68,-0.5013407019999988,-0.6321754909002408
AuCl,-0.18,-0.27832934500000306,-0.0572602263123656
AuCl3,-0.3,-0.4356914150000044,-0.3088070889509176
AuF3,-0.94,-1.1722423175000038,-0.9925627978928979
BaO,-2.86,-2.763365777499999,-2.8224404568033954
BaO2,-2.19,-2.121330273333333,-2.1382135314451554
BaS,-2.38,-2.3728971004999977,-2.4952392460288735
BeO,-3.14,-3.0769868149999997,-3.099416172558583
BeS,-1.21,-1.2415286080000003,-1.327225431784063
Be3N2,-1.22,-1.3082466649999993,-1.2097811194209798
CaCl2,-2.75,-2.7299008199999997,-2.7996832874370745
CaF2,-4.21,-4.277271430000002,-4.300124836496615
CaO,-3.29,-3.2956192474999995,-3.399242689930481
CaS,-2.45,-2.4474089754999984,-2.61429988415596
Ca3N2,-0.91,-1.00153574,-1.0005030962672579
Ca3P2,-1.22,-0.8598182720000012,-1.065062935734474
CdCl2,-1.35,-1.32358072,-1.3612833255285206
CdF2,-2.42,-2.464822463333334,-2.4555960079213954
CdO,-1.34,-1.2531775725000003,-1.3086812220676514
CdS,-0.78,-0.7502750804999998,-0.8690461962931302
CdSb,-0.07,-0.06665038500000264,-0.1325615593646674
CdSe,-0.75,-0.6950736999999982,-0.8002393405208394
CdTe,-0.48,-0.48256726500000013,-0.5611935300953235
Cd3As2,-0.08,-0.12093275200000449,-0.19061274706685935
Cd3N2,0.33,0.42575644800000134,0.4845328431681395
Cd3P2,-0.24,-0.09348040400000172,-0.24098131629907868
CoF2,-2.39,-2.978068393333333,-2.4553642822260593
CoF3,-2.1,-2.5369701850000004,-2.11916882046424
CoO,-1.23,-2.1104235824999993,-1.3957107485246478
CoS,-0.43,-1.0898128755000016,-0.43836750775012945
CoSb3,-0.17,-0.3262124799999988,0.049282441927825715
CoSe,-0.32,-0.9658064300000007,-0.3007555869778358
Co3O4,-1.32,-1.9674197357142853,-1.3451659374109377
Co3S4,-0.53,-1.0688152305714291,-0.5188671079543435
CrF4,-2.58,-2.9374480760000004,-2.455210514325677
CrN,-0.65,-1.823454319999998,-0.6166960089414903
CrO2,-2.07,-2.633382356666665,-1.9221108641235378
CrS,-0.81,-1.8718921654999985,-0.9020021850464506
Cr2O3,-2.36,-3.2950477190000016,-2.455021844802512
CuF2,-1.88,-1.8810067966666668,-1.8539058207662993
CuO,-0.82,-0.8372052925000002,-0.8658971613350079
CuS,-0.28,-0.26752437550000074,-0.35948371056048956
CuSe,-0.21,-0.1658407749999995,-0.24419463478819736
Cu2O,-0.58,-0.517701908333334,-0.5784575948704523
Cu2S,-0.28,-0.18605420366666672,-0.2889882010207714
Cu2Sb,-0.04,-0.012570539999998687,-0.08026457640179292
Cu2Se,-0.21,-0.06742757666666677,-0.16129125717257864
Cu2Te,0.07,0.07424905666666841,-0.0019217068888982187
Cu3N,0.19,0.21632182749999984,0.22633466430156446
Cu3P,-0.17,-0.035540375000001845,-0.15445085536544667
Cu3Sb,-0.02,0.06564158999999847,-0.016349767786678626
FeF2,-2.46,-3.261329083333333,-2.4865693210796365
FeO,-1.41,-2.5037878125000006,-1.4109915018050128
FeS,-0.52,-1.4747791605000007,-0.44525031603049037
FeSe,-0.39,-1.341715054999998,-0.29858073525820217
Fe2O3,-1.71,-2.6390888169999998,-1.7513518515897446
Fe3O4,-1.66,-2.598569559999999,-1.6522442102226782
GaAs,-0.37,-0.37973094000000174,-0.5877209398319252
GaCl3,-1.36,-1.2702044824999987,-1.3730649167187643
GaF3,-3.01,-2.8700383224999992,-2.9201035631607457
GaN,-0.81,-0.6571724099999994,-0.7045919220381816
GaP,-0.53,-0.45392541000000186,-0.7591915563722029
GaS,-1.09,-0.7178443754999986,-1.0021322181431405
GaSb,-0.22,-0.1593546400000001,-0.3907825412146728
GaSe,-0.83,-0.6218729399999994,-0.8925553073708521
Ga2O3,-2.26,-2.0986931270000015,-2.262009511279865
Ga2S3,-1.07,-0.7555832646000014,-0.9948206083504416
Ga2Se3,-0.85,-0.633596817999998,-0.8565075914236928
GeO2,-2.0,-1.8581303599999994,-1.9540556189404537
GeS,-0.39,-0.25521082550000074,-0.4961159722718236
GeS2,-0.66,-0.3655432673333318,-0.5458251479077608
GeSe,-0.48,-0.19162800500000188,-0.41892767649953555
Ge3N4,-0.09,-0.16436722142856905,-0.10858430485298445
HfN,-1.91,-2.018929864999997,-1.9020118113780882
HfO2,-3.95,-3.94003678,-3.9553254590812705
HgCl2,-0.77,-0.7207183733333314,-0.7607372505592215
HgO,-0.47,-0.3516502225000053,-0.41062827961370374
HgS,-0.3,-0.14506394050000182,-0.2673094638391831
HgSe,-0.24,-0.2057340749999952,-0.31437412306689083
HgTe,-0.22,-0.16948158500000687,-0.251582257641374
InAs,-0.31,-0.31120794000000274,-0.3132260682340302
InN,-0.1,-0.08789881499999908,0.07065354455971828
InP,-0.39,-0.28940091000000123,-0.38869518477430276
InS,-0.7,-0.6618872955000015,-0.7402032665452438
InSb,-0.16,-0.17072130999999757,-0.1961773396167743
