Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.13274018966666645,-0.12020189500843752
Ag2O2,-0.06,-0.13052622349999998,-0.19149116869260796
Ag2S,-0.11,-0.07318350199999972,-0.05043924774883616
Ag2Se,-0.15,-0.08953379999999989,-0.024037298985916184
AlAs,-0.61,-0.4996483300000003,-0.7540875799042666
AlCl3,-1.82,-1.5459406924999999,-1.854224969977072
AlF3,-3.9,-3.5480396799999996,-3.829053014804046
AlN,-1.61,-1.4232535375,-1.7032755132131783
AlP,-0.85,-0.6172571214999998,-1.0112051465092877
Al2O3,-3.47,-3.025060799,-3.4398500084197763
Al2S3,-1.5,-1.0603589432,-1.456777425352493
Al2Se3,-1.18,-0.8443634757999995,-1.1638279137792367
Al2Te3,-0.68,-0.4545110037999997,-0.7045198106106987
AuCl,-0.18,-0.25342590750000005,-0.04088957967612172
AuCl3,-0.3,-0.3131906094999999,-0.30998512616748153
AuF3,-0.94,-1.03004651,-0.9995700839944561
BaO,-2.86,-2.4802189324999997,-2.828841465338949
BaO2,-2.19,-1.8630082133333328,-2.189248123474338
BaS,-2.38,-2.0789727560000006,-2.4122863494495466
BeO,-3.14,-2.7640561585000007,-3.0358933699780604
BeS,-1.21,-1.0607191020000002,-1.3172473740886574
Be3N2,-1.22,-1.0841482091999999,-1.2195812341244376
CaCl2,-2.75,-2.4395259699999996,-2.72002579549922
CaF2,-4.21,-3.9577853133333325,-4.214044300900974
CaO,-3.29,-2.9918227575,-3.347184466962548
CaS,-2.45,-2.1696255959999995,-2.5096783660731448
Ca3N2,-0.91,-0.8168699060000009,-1.0525323285058235
Ca3P2,-1.22,-0.7402686792000004,-1.0670719411427108
CdCl2,-1.35,-1.1135621766666668,-1.3163767295056414
CdF2,-2.42,-2.1921495500000003,-2.370723264907397
CdO,-1.34,-1.0270337375,-1.2658675379721798
CdS,-0.78,-0.640146106,-0.8636709670827774
CdSb,-0.07,-0.050430345499999696,-0.13670483252489296
CdSe,-0.75,-0.6217988714999998,-0.7811953624383967
CdTe,-0.48,-0.4620305914999998,-0.5635473897979482
Cd3As2,-0.08,-0.10822193599999999,-0.18358468707025216
Cd3N2,0.33,0.5422046379999997,0.44637570628261897
Cd3P2,-0.24,-0.0569364371999999,-0.24390620835426907
CoF2,-2.39,-2.9466527333333334,-2.5184827960522997
CoF3,-2.1,-2.4403425899999993,-2.1616561631045927
CoO,-1.23,-2.2016810125,-1.5303993346895357
CoS,-0.43,-1.2406026209999998,-0.5540120038001319
CoSb3,-0.17,-0.30757500874999977,0.11616746795360289
CoSe,-0.32,-1.1452890865,-0.3945700991557528
Co3O4,-1.32,-1.907872407142857,-1.3726987782689035
Co3S4,-0.53,-1.0068581125714284,-0.45418855296672944
CrF4,-2.58,-2.565528672,-2.544835545084985
CrN,-0.65,-1.021899792500001,-0.6032802291868116
CrO2,-2.07,-2.148367263333333,-2.0751763559564225
CrS,-0.81,-1.2189079410000003,-0.9530753081726724
Cr2O3,-2.36,-2.500882235,-2.3567582131986833
CuF2,-1.88,-1.8351799733333332,-1.9360367361254263
CuO,-0.82,-0.7576397439999996,-0.8798981162992248
CuS,-0.28,-0.2651974724999997,-0.3721469054098221
CuSe,-0.21,-0.20425505999999993,-0.2470761227654421
Cu2O,-0.58,-0.5432931149999997,-0.6124793898172604
Cu2S,-0.28,-0.28923230966666696,-0.3482126248909922
Cu2Sb,-0.04,-0.02680975166666677,0.00571018248093047
Cu2Se,-0.21,-0.21244164799999984,-0.2286697164614052
Cu2Te,0.07,-0.009168940999999839,0.013189452298894011
Cu3N,0.19,0.15519990874999978,0.19659761761135375
Cu3P,-0.17,-0.10694118575000022,-0.1225065015367015
Cu3Sb,-0.02,0.0030398762499999066,0.03666930689736514
FeF2,-2.46,-3.4203383549999997,-2.5815248199914897
FeO,-1.41,-2.8425945650000006,-1.5553474905983204
FeS,-0.52,-1.8625405084999995,-0.5599844947089174
FeSe,-0.39,-1.7606165615,-0.3939321775645368
Fe2O3,-1.71,-2.6777325230000004,-1.7042297964276798
Fe3O4,-1.66,-2.6905058378571423,-1.627361869047862
GaAs,-0.37,-0.3584414875000004,-0.5673626157371983
GaCl3,-1.36,-1.1398621687499997,-1.4253873853935377
GaF3,-3.01,-2.58931134625,-2.8475656202205126
GaN,-0.81,-0.47585786500000005,-0.7103617190461096
GaP,-0.53,-0.408302784,-0.7567326873422195
GaS,-1.09,-0.6505782185000006,-1.0378690030319708
GaSb,-0.22,-0.1622877599999999,-0.412328170474086
GaSe,-0.83,-0.5856926009999999,-0.9088550153875898
Ga2O3,-2.26,-1.8442808489999998,-2.222655561086122
Ga2S3,-1.07,-0.6628401711999998,-1.0228441560188386
Ga2Se3,-0.85,-0.5815672977999995,-0.8646172384455824
GeO2,-2.0,-1.6023256433333326,-1.8979476191890072
GeS,-0.39,-0.2654701985000001,-0.5528568905215501
GeS2,-0.66,-0.3269712613333334,-0.6021813180031371
GeSe,-0.48,-0.23029961549999944,-0.45355793737716876
Ge3N4,-0.09,0.007707664285713837,-0.09984683488696078
HfN,-1.91,-1.6402952325000015,-1.9032190176260873
HfO2,-3.95,-3.5733493300000005,-3.954520654915939
HgCl2,-0.77,-0.6233571023333333,-0.7823304455656729
HgO,-0.47,-0.2947730124999999,-0.46784499856222705
HgS,-0.3,-0.12447806450000032,-0.2822411111728249
HgSe,-0.24,-0.16841492150000015,-0.2620495980284445
HgTe,-0.22,-0.16361364000000012,-0.19936862388799592
InAs,-0.31,-0.2430831849999997,-0.2989905882848394
InN,-0.1,0.1134893624999993,0.031999233406248884
InP,-0.39,-0.19032392650000052,-0.38574010488986055
InS,-0.7,-0.5028763884999998,-0.7371534480796114
InSb,-0.16,-0.11839946749999974,-0.21542615302172763
InSe,-0.62,-0.5222425815,-0.6923912709352309
InTe,-0.5,-0.29865287649999983,-0.41092187329478236
In2O3,-1.92,-1.623168631,-1.879132363124235
In2S3,-0.74,-0.5505370652000003,-0.7881300700569518
In2Se3,-0.67,-0.5286204118000001,-0.6892593724836956
In2Te3,-0.41,-0.30657002380000054,-0.3977533533151572
IrO2,-0.95,-0.8688895233333334,-0.9595963702067039
IrS2,-0.48,-0.4504472580000005,-0.5207421856875006
Ir2S3,-0.49,-0.44071587720000027,-0.474898433231737
KCl,-2.26,-1.9706422309999998,-2.155263358980103
KF,-2.94,-2.7019999009999998,-2.868440400531419
