Element,FERE Correction (eV)
Ag,-0.0060081895366312105
Al,0.4574507537548935
As,-0.20764083973668856
Au,-0.34827889457004835
Ba,0.27719887406709187
Be,0.18929211244039681
Bi,-0.1129728651700338
Ca,0.34586899928340575
Cd,0.25135548496836574
Cl,-0.06512531357622228
Co,-0.5579796926735942
Cr,-0.32426069858665135
Cu,0.1631270670761217
F,-0.12101856066166894
Fe,-0.6895023841420451
Ga,0.6081280497792518
Ge,0.5637060111762857
Hf,0.3073472471773937
Hg,0.25116739569041374
In,0.19397259967415578
Ir,0.13819999147450657
K,0.09283452609742468
La,-0.05078416894167294
Li,0.10644451840718155
Mg,0.2564759365775131
Mn,-0.30504182199692437
N,-0.5324993462854117
Na,0.004265953385025806
Nb,0.43019300078360256
Ni,0.0005337721076776533
O,-0.13508260903468566
P,-0.0019615923191338633
Pd,-0.10416968240662372
Pt,-0.3793916745529286
Rb,0.10771957733001972
Rh,-0.20786204464105762
S,-0.012865371097208006
Sb,-0.15013512910167903
Sc,0.0742918409512092
Se,-0.03583485150569532
Si,0.1608629972250084
Sn,0.2598541828187979
Sr,0.27616395461315313
Ta,0.37115804323991
Te,-0.07781828566204509
Ti,0.023012671289610192
V,-0.0836411228674078
Y,0.07935869237978034
Zn,0.0570362115303658
Zr,0.32580618818306195
